;Modele;Score_train;Score_test;MAE_train;MAE_test
0;Lasso;0.9372877510419281;0.9192883847871997;352.9364180341039;496.34602719046086
1;Ridge;0.9374647019504636;0.9208713120083254;358.42686185570307;484.8541756855272
2;Elastic;0.9372453189382968;0.9188342324936132;351.32711489819945;494.9241885064303
3;RandomForest;0.996767807302752;0.94326045043739;64.45541957708699;388.86503159041393
4;RandomForest (après Grid Search);0.9643836828546661;0.9225694350790191;259.70762391020946;493.8525899131013
5;RandomForest (après GridSearch & cross validation);0.9230261824635033;0.9211004411349919;323.84268808264636;470.98627162080913
6;Erreur de référence (moyenne du cpt horaire global;0.0;0.0;2180.0;2180.0
